Attendance,Test_Score,LMS_Time_Hours,Assignments_Submitted,Forum_Interactions,Study_Hours_Per_Week,Previous_GPA,Final_Result
61,65,26.00,5,11,9.70,3.08,Average
77,68,31.00,3,5,3.40,2.57,Average
52,42,27.30,1,15,8.70,2.32,Average
76,47,38.30,6,18,9.80,1.67,Average
66,59,37.30,3,8,2.90,2.21,Average
72,53,25.90,2,10,9.10,2.22,Average
63,54,47.40,3,22,12.70,2.82,Average
81,68,21.30,3,3,10.40,2.85,Average
68,69,16.50,3,3,13.60,2.56,Average
73,54,21.30,6,3,14.40,2.46,Average
62,63,12.80,2,2,6.10,2.19,Average
59,53,23.10,2,4,9.70,2.30,Average
68,61,17.00,4,16,6.60,2.33,Average
62,69,31.80,4,7,9.50,3.40,Average
69,63,29.10,3,8,6.70,2.17,Average
75,60,33.20,2,10,10.80,2.24,Average
62,53,30.80,5,13,15.80,1.95,Average
66,62,31.20,1,12,8.40,2.19,Average
52,54,37.40,3,0,5.90,2.57,Average
71,49,20.40,2,9,16.40,2.58,Average
61,62,24.30,3,11,14.40,2.99,Average
63,51,13.50,2,1,15.50,1.99,Average
47,78,22.70,3,0,6.10,3.00,Average
54,61,23.90,1,7,4.40,2.94,Average
74,56,36.00,6,7,15.70,1.92,Average
75,55,33.20,4,6,9.30,2.51,Average
78,60,40.20,4,8,7.50,2.23,Average
69,68,21.60,3,3,10.60,3.78,Average
70,53,30.50,4,7,13.80,2.04,Average
72,61,26.80,2,6,9.60,1.91,Average
54,48,34.70,4,7,8.50,1.66,Average
71,55,37.90,1,17,8.80,2.42,Average
65,61,21.10,5,3,9.70,2.60,Average
63,57,25.30,2,5,5.20,2.23,Average
49,55,50.30,1,10,10.10,2.08,Average
64,48,47.70,3,11,14.10,2.17,Average
66,52,53.10,3,10,12.40,2.43,Average
70,44,46.40,3,23,15.10,1.66,Average
60,53,18.80,4,14,8.50,1.82,Average
82,58,47.20,3,7,13.10,2.54,Average
57,61,46.60,5,18,8.10,2.35,Average
82,52,36.40,5,6,15.60,1.71,Average
75,57,27.30,3,14,4.80,2.01,Average
59,51,33.20,2,9,9.60,2.44,Average
64,56,39.90,5,13,13.80,2.26,Average
68,57,7.80,4,4,12.90,1.86,Average
64,62,40.80,3,14,4.40,2.60,Average
65,49,18.80,1,0,7.60,2.58,Average
79,41,29.30,6,3,15.90,1.59,Average
61,56,30.40,1,2,6.80,3.21,Average
42,65,35.70,3,7,4.54,3.20,Average
74,65,25.50,2,17,1.00,2.42,Average
67,61,44.20,3,12,6.50,2.20,Average
54,68,8.10,0,0,4.20,2.92,Average
63,57,25.30,2,0,12.00,3.09,Average
72,61,23.10,3,7,14.50,2.75,Average
63,72,18.20,1,0,8.90,3.45,Average
57,58,48.80,5,13,1.00,2.04,Average
69,57,26.70,7,4,12.00,3.03,Average
72,54,21.70,5,7,11.90,2.20,Average
60,47,25.40,4,10,7.20,1.96,Average
58,47,42.80,4,10,12.70,2.00,Average
68,62,6.80,3,3,13.90,2.34,Average
46,52,44.00,1,13,1.60,2.77,Average
72,63,21.20,2,8,10.20,3.24,Average
66,43,28.90,4,10,10.10,2.77,Average
60,41,30.20,3,10,10.70,2.49,Average
61,66,36.90,1,13,8.70,2.63,Average
66,65,16.10,0,4,4.20,2.42,Average
66,56,32.20,3,9,16.00,2.19,Average
