Attendance,Test_Score,LMS_Time_Hours,Assignments_Submitted,Forum_Interactions,Study_Hours_Per_Week,Previous_GPA,Final_Result
72,72,24.988146268302632,5,0,5.284868477630752,3.219795705452866,Good
82,63,51.924518385312176,7,4,27.6564,3.612475608942603,Excellent
79,64,49.597474430595454,10,7,12.6004725258778,1.21803,Average
70,89,27.36071792896001,1,4,22.866179248443395,3.148263876049326,Good
51,79,44.532911110772986,5,12,9.648426018063812,1.7877683850598636,Excellent
69,79,38.150029464339184,10,1,15.209401799075158,1.8539366425237644,Average
100,100,5.7828912090477615,8,1,14.85226245706199,2.000573845673362,Average
93,78,30.00109901329169,1,21,7.786610503458475,4.0,Excellent
67,51,40.75985351003423,3,7,11.79379713199567,3.011633246692949,Excellent
54,80,32.588374314256136,7,3,26.30140259248783,1.8735243877025165,Good
53,53,54.89094606356427,1,21,0.955,2.155925633984643,Average
70,44,49.36392459815363,1,0,20.35299758927149,2.920548550406959,Average
100,60,45.03519331421518,8,21,1.7909258941570645,3.303886989698777,Average
94,78,50.95341759495473,8,2,20.24161264964565,2.159514781010543,Average
50,60,-1.3451999999999995,11,5,21.64045001022891,1.6267822062342767,Good
100,85,5.368934950226393,8,0,8.83243492257819,1.4620049578413965,Good
52,74,10.778701323153811,1,0,2.0537763962547637,2.9469473398463086,Good
51,66,13.091100304078108,6,22,9.182256173806383,1.21803,Good
84,54,45.78991116158574,2,11,18.41843886681869,2.572609707713184,Good
65,32,44.68305800978516,1,0,27.6564,3.6140782383350953,Good
83,73,62.435,1,1,7.031561548433461,3.3560642344086835,Average
100,85,9.078652860337474,6,0,1.5650772540896547,3.194627705254652,Good
63,64,19.76049836571115,3,0,23.959762518865897,2.670843379358731,Good
78,56,26.957245046040903,8,9,10.055018689947918,1.6615216727578996,Good
85,100,33.72213394354698,1,2,11.874367944416058,2.7831280718174978,Good
45,77,21.91802336329301,1,18,16.93059542856675,3.662318479360299,Average
54,33,34.42464971077786,5,20,19.31609892357839,2.653543087209327,Good
85,73,49.46835665343886,2,6,26.145,1.7399399598722658,Average
70,32,7.649549503096203,3,22,3.854201366526992,2.46857752270787,Good
45,83,62.435,6,4,16.908672310093465,3.3442779365283952,Average
62,89,50.933128401093406,2,13,17.090294103086674,3.1582284216048486,Good
95,89,8.565397728986868,11,11,10.447908230850077,3.802667685838341,Poor
67,51,50.70130788121809,2,0,24.86665281780838,2.317171525647913,Excellent
66,55,27.04092580254541,6,4,26.14109263058782,3.3229408392977726,Good
96,78,7.755026043376901,7,22,10.886406394152456,3.3539883295931885,Excellent
80,76,53.216145780041,5,7,13.032913526642384,3.684006318576016,Excellent
76,92,30.381059685541256,6,0,1.875344072133398,2.917581514940829,Excellent
84,38,26.5725440264912,8,14,27.6564,3.3110936836454345,Good
80,77,60.89631462360698,1,9,14.62188694804685,2.450317164445403,Poor
62,45,47.374016084633936,4,12,19.08975644379892,3.5542060708134127,Average
91,63,9.737516987480843,3,1,4.9038938706259305,1.3755,Good
82,93,26.078502054502778,7,15,12.502644957803811,4.0,Average
42,65,36.87886081586066,7,12,27.6564,1.21803,Good
86,66,44.17459780820796,7,12,9.712112873146534,1.5399957460878153,Poor
78,63,32.37476235214619,4,10,5.350448521218022,3.109464220405447,Good
87,60,50.95344382603044,1,0,23.94937353954572,1.7222232371046242,Average
86,81,-1.3451999999999995,4,6,3.9830409960500166,1.9138722461511877,Average
55,97,2.380232438416037,4,8,27.6564,2.412797093085151,Average
86,82,61.883089585959446,6,11,21.04023991127127,1.7319650068619623,Good
64,62,28.757874667193622,5,1,16.32657352562473,2.201848508508777,Poor
83,83,44.14866980281523,1,22,21.43428654493662,2.3030184017709163,Excellent
73,80,26.469360482975404,5,10,5.634223146391151,3.2447627241154526,Good
81,74,37.7376507898505,4,4,15.93405218458246,2.208776288451188,Good
61,37,31.988887075287813,6,22,10.852489512882158,4.0,Average
69,65,60.82020195582673,3,19,3.7047030985808114,2.4203418646140764,Good
69,79,42.69017981627841,7,4,23.582014675154824,3.658446012092157,Poor
92,59,40.22855604180052,7,5,22.600630569658744,4.0,Good
100,64,58.60434963237955,1,19,22.3837157557073,3.581851938570268,Good
100,66,62.435,8,10,16.406155086635838,3.099098772143533,Excellent
79,69,9.333550942303884,4,15,8.377621647658444,3.3158907066952144,Good
68,78,18.947521588639137,9,6,17.587869679150025,2.901773707581078,Average
78,59,3.855476094436476,10,9,26.145,2.4905391041960665,Good
57,67,56.71945941146981,5,9,19.47490888321228,2.14130623949733,Average
70,75,28.84702676942687,7,17,5.413818111022333,1.952078041035566,Average
42,79,62.806238718564614,4,16,20.367517209536913,3.733581086001102,Good
63,36,25.699646037397933,5,21,23.025428667255188,1.84146028887706,Average
61,63,31.341801334287837,8,4,7.267797459909945,2.40773682560883,Average
45,95,23.73070520797597,2,14,14.062769072373053,4.0,Good
58,49,40.35565149976467,7,16,8.56543616094475,1.3755,Average
67,80,40.52442317271347,4,17,25.991111063585933,2.0913327318977224,Average
60,70,31.64205696011682,1,4,9.528213067803348,3.608691991787623,Good
93,72,12.890067425796955,5,3,12.212288462987658,3.763873723043905,Poor
71,44,44.5,8,14,17.4,3.8,Good
72,69,34.98729734306773,5,5,17.331239691793385,4.0,Good
43,57,44.584873803798686,9,18,16.591763903589527,1.4184920074420997,Average
42,32,16.721938756403688,11,7,7.882891917435734,3.059384792682271,Excellent
77,100,4.692852564993558,5,9,15.62912435528764,3.5419235558087103,Average
88,41,47.538476976468026,10,21,17.916790222259493,3.5359679451060337,Average
100,86,46.54668795438332,7,8,26.145,1.4007664088467826,Excellent
88,78,52.5087052355054,3,16,24.608522007872153,3.135555979898839,Good
51,69,21.42096001677141,2,2,5.31990382599486,3.278282079200582,Good
74,77,56.29634452686707,4,17,16.037978210686997,2.0352479023586065,Poor
58,32,17.948016711703787,8,1,8.566983161475747,4.0,Good
76,69,24.60719134127514,3,2,15.074044174591885,3.50653392111011,Average
100,91,28.579643883441324,7,0,21.302262236778244,4.0,Good
91,49,48.22242688178548,10,21,6.141330765652012,1.3755,Excellent
93,74,13.121255457414858,2,17,14.866342551865856,2.59946191983561,Average
81,45,35.98475838170049,7,15,17.733579288673173,2.793490551931529,Average
59,80,3.166715257666411,4,10,22.53529236502412,3.6486916212059786,Good
78,48,-1.3451999999999995,5,22,23.00029491533774,3.1791315296988305,Excellent
75,56,29.68634175800707,10,15,10.517446841023313,3.318639038814432,Good
76,74,-1.3451999999999995,11,0,6.8075600442576025,2.9229947826176073,Poor
95,100,62.435,3,17,2.9321514675028446,1.3755,Average
58,66,16.104954278556665,6,11,12.921786917771117,1.21803,Excellent
58,43,15.980495960220722,5,12,17.194750902044618,2.654363612314629,Average
70,80,35.60052087478447,4,5,2.130658476076811,1.9298842306936437,Average
100,89,28.044775541780233,2,13,11.463571031529415,3.123059186590519,Good
84,36,39.902003800538,6,18,7.675798029662959,1.620593363726593,Excellent
82,36,38.03051508994256,7,16,8.123823257113028,4.0,Good
69,91,44.48014767285345,8,5,13.95036489146758,1.8977437327369744,Excellent
51,76,63.56838040241307,0,0,13.363573816366854,4.0,Excellent
88,100,32.67950015333146,0,10,5.252777153683521,1.793950350550401,Poor
55,76,31.092205317117607,1,5,9.23643938637679,3.22689534492274,Good
87,68,51.91253333810885,4,17,26.177009711917997,3.0204616520840823,Good
42,88,13.904603025451898,7,3,11.929264928636169,2.8872827442985924,Average
52,100,37.12504477026189,5,0,8.501959047643375,2.5710510726199125,Good
93,58,29.800561306057805,5,2,21.238021541813744,4.0,Poor
83,49,12.018828869916716,0,1,19.508445495787537,1.735896074653521,Average
80,94,55.31074661700029,0,21,18.742739730633744,2.403711240494493,Poor
69,77,55.986699134589344,7,4,1.9895442255709352,1.478041595298974,Good
69,48,66.04520000000001,4,2,21.470810958049785,3.3892383608104355,Average
54,46,34.76714039249435,3,5,21.437772570865736,1.21803,Good
96,74,11.779510794196488,1,0,21.707303910053355,3.3635842845179473,Good
77,83,8.320919343228041,7,22,4.509607195333002,2.4060932963840247,Excellent
76,55,25.72421615454847,4,8,0.955,2.7332444884991034,Good
75,33,27.34371299587427,5,1,11.03496944768087,3.588290952535917,Average
56,56,37.40601889824679,8,22,-0.5564000000000001,3.278606747225651,Average
81,96,0.1051121308673188,5,5,7.787635316643867,2.2673748258796147,Good
63,62,33.756959185489805,6,3,7.26363489221087,4.0,Average
93,74,30.65229887084356,10,0,12.34523422173124,2.095159746657292,Poor
94,57,34.78566178376941,8,13,14.005365254058344,2.2500548959115583,Excellent
78,74,37.14690131910064,10,3,3.8249134025682463,1.3591962428237363,Average
66,87,20.84623277299737,1,8,20.16273026487833,2.038208955098176,Excellent
100,71,26.036007995716723,0,9,21.701253271213854,2.7445783472966703,Good
50,82,25.566676536538864,2,5,5.647551836080578,2.3649554218092512,Average
45,67,10.706201631448913,5,21,26.145,2.0349105179213067,Excellent
54,79,31.06749730814237,5,12,15.770223551472156,3.447382919769806,Average
73,77,59.67506572856302,5,13,20.59760969422968,2.9573020280913886,Good
55,95,37.99972148120554,7,11,12.505971014019392,3.5277905233233193,Average
74,74,32.447853728252355,0,8,13.46024630055716,1.21803,Average
66,91,46.63783334635273,1,21,3.752334838811251,3.1414642491591698,Average
97,80,47.210273932697135,5,6,14.599469166268678,1.7328139992687452,Excellent
82,65,47.7,1,1,4.3,3.39,Average
60,94,33.27061812384398,5,14,6.766655512275147,2.1293287484042134,Excellent
93,27,30.948713786924262,7,7,5.678402594726778,1.9340367235946745,Average
50,56,53.3102595858109,3,0,24.99642835443781,3.2520611623017808,Poor
73,56,31.069016065283837,7,1,9.184563665752105,3.455869950583872,Good
48,67,19.35711087472192,1,6,13.983416487731708,3.6807586621362214,Poor
68,39,23.208603201398596,10,16,3.668122804426055,1.21803,Average
100,90,25.572078523208894,6,3,24.504520475853266,2.9314025929608527,Good
57,57,26.277923863439025,4,15,1.5870777255606043,3.4459838330233454,Good
85,51,48.22550684968435,7,19,21.451987872477048,1.4393814574278068,Average
42,76,34.195292092970135,10,0,8.07338760732986,2.555231635873699,Poor
68,76,33.63651978586904,4,21,26.145,1.7106483739666836,Excellent
45,44,54.96031508297053,1,9,6.939882087145963,2.5001757351350427,Excellent
92,100,60.54791694115482,6,11,20.07642413287872,3.5511329628456716,Good
61,100,25.982290554129005,0,5,12.851910091718413,3.672716560235366,Poor
54,93,18.545334818884974,6,15,18.07990053318175,2.9465262476582015,Good
100,79,38.26793728010445,1,16,12.85756268574968,3.615594158084812,Good
99,65,41.79800325714945,7,15,19.65951728245547,3.2519052047904107,Poor
51,54,36.66309973936677,3,3,26.145,3.473957340776506,Good
61,53,45.98615706361378,2,0,10.459156129008942,1.375009603255329,Excellent
83,89,43.81413735600631,3,8,15.50824395272741,3.4010861836325827,Good
100,89,23.190705313998837,3,2,25.862641828249732,2.9584046999163363,Poor
46,100,43.29387635206122,6,0,12.273052242386884,4.0,Excellent
67,41,34.2331202626645,8,11,8.269955614898086,4.0,Excellent
86,96,43.977525120465685,6,10,15.432412022348068,3.3963661383082613,Excellent
73,82,26.1374137481776,8,15,26.83275575450081,2.109924327416773,Good
48,45,35.18320899622178,3,19,27.6564,1.987551065064532,Average
42,60,13.467726304071814,10,19,17.77328855016513,4.0,Average
93,81,43.65692223546206,7,15,26.700721940941303,2.314919195574844,Good
98,100,-1.3451999999999995,3,0,19.299961250810227,3.242202982666233,Poor
90,57,32.783603768380424,4,4,17.76882398734381,2.193777141377294,Average
94,54,52.7,2,8,6.3,1.52,Poor
72,34,31.239106841279497,8,13,3.912855788777634,1.2826928138511768,Average
45,83,33.944158007633376,5,14,20.99209243938018,2.736414437886965,Average
70,77,26.43618203312276,1,21,18.89137405083472,2.3942192643255016,Good
68,63,58.048159505754455,12,5,3.636219241097174,2.044369257380448,Good
52,65,31.495911811844483,4,17,7.544678989901428,1.7443721910931032,Good
51,100,53.30918097385134,1,22,27.6564,2.801169940332008,Good
86,70,2.03528603763857,4,9,15.287960986796946,1.2322843904202836,Average
75,47,55.56811381808025,8,0,16.27047587196101,2.480968061170657,Average
80,68,58.698900875374235,5,21,23.03262229632453,2.8016858561484086,Good
70,55,58.1097927498551,4,21,20.8218649479018,1.392336207921436,Good
79,64,49.95545824656399,9,12,16.146077316618044,2.9532490832207183,Excellent
100,88,30.02502124945459,7,22,5.613186682248287,1.5764154977833444,Good
83,100,25.471499071447752,4,16,1.1537854847065976,3.4047364324792673,Average
92,49,27.444188869340984,0,22,1.4800332121570183,1.789784189134367,Average
90,100,34.82542945159204,9,10,23.01043679170516,3.248156981945327,Good
79,63,32.06243968695591,6,4,3.769542951474074,3.971419861178725,Good
51,70,47.76038467086811,4,1,25.671960946822537,3.4808710507511966,Average
42,92,10.887307763656214,10,16,12.031305973199766,2.066500645646663,Average
75,32,38.15829671799307,5,19,-0.5564000000000001,2.511761595325556,Average
71,53,57.942480124819255,9,4,11.461192052586828,2.6305299549048944,Good
68,94,58.6,2,20,14.7,2.66,Good
79,86,-1.3451999999999995,3,22,16.116706295245883,1.21803,Excellent
84,55,33.6440610589699,1,18,16.237920503379957,3.950562568855456,Good
43,58,35.50977926597781,4,5,22.080861526581515,1.973730160150898,Good
47,84,46.8994700843137,3,15,16.907857534523902,2.9127153375624117,Average
