Attendance,Test_Score,LMS_Time_Hours,Assignments_Submitted,Forum_Interactions,Study_Hours_Per_Week,Previous_GPA,Final_Result
92,80,49.6,5,7,15.1,3.01,Good
65,61,47.9,9,19,6.3,2.81,Good
83,55,49.2,7,6,15.8,3.74,Good
48,84,49.0,4,3,15.8,3.44,Average
85,54,50.8,3,11,7.1,3.79,Average
59,63,33.9,4,19,18.3,3.93,Average
53,64,15.6,5,10,21.4,2.12,Average
69,75,38.8,3,3,9.6,3.78,Average
53,96,36.2,3,20,10.3,1.52,Average
56,58,39.3,9,7,12.1,3.55,Good
74,63,53.3,9,3,23.8,3.54,Excellent
67,91,37.9,2,15,22.0,2.58,Average
89,44,5.0,3,18,16.5,3.51,Average
62,60,32.3,6,18,21.9,1.55,Average
55,75,33.6,2,1,20.5,3.83,Good
56,70,42.8,7,1,15.3,2.76,Good
91,95,51.7,4,11,7.1,3.89,Good
79,65,19.5,3,13,3.8,3.63,Good
71,59,53.6,5,11,13.9,3.84,Good
78,91,8.4,1,1,13.8,2.78,Average
100,72,39.6,2,18,9.3,2.33,Average
71,44,44.5,8,14,17.4,3.8,Good
53,66,40.3,5,18,8.6,3.01,Good
57,61,53.0,3,2,22.8,2.22,Average
48,51,19.2,1,12,20.3,2.65,Poor
70,49,55.1,8,5,12.0,2.55,Good
100,60,34.3,5,3,3.9,1.88,Average
96,48,22.9,9,3,24.5,2.83,Excellent
100,62,23.8,1,13,19.7,1.55,Poor
70,78,22.5,3,8,20.2,1.71,Average
81,62,50.9,6,13,23.5,1.57,Good
68,94,58.6,2,20,14.7,2.66,Good
68,100,54.3,4,12,18.9,2.41,Good
92,44,42.9,10,19,11.3,3.6,Excellent
75,61,43.1,3,18,14.0,3.69,Average
65,63,57.0,9,1,13.5,3.44,Excellent
72,39,15.2,2,3,18.2,3.59,Average
100,43,42.2,10,16,19.9,1.85,Good
70,89,39.9,2,20,7.2,3.28,Good
64,91,18.1,6,11,10.9,3.41,Good
79,80,36.5,1,18,5.6,3.21,Average
80,61,54.9,6,17,12.6,1.99,Good
74,52,29.7,5,8,13.3,2.45,Average
59,44,59.7,10,6,23.0,2.99,Good
48,100,5.3,3,14,19.5,3.05,Good
52,70,56.8,8,14,13.9,2.01,Good
69,86,36.8,2,3,12.9,3.12,Good
48,85,45.2,8,8,5.1,3.65,Excellent
86,94,48.4,7,19,19.0,2.57,Good
83,74,57.3,4,2,7.4,2.45,Average
64,44,7.6,4,8,19.8,3.83,Good
95,83,41.3,7,6,6.7,1.57,Good
59,88,56.7,5,19,3.0,3.7,Good
61,58,40.3,7,14,12.9,3.65,Excellent
64,97,17.1,8,3,22.3,1.68,Good
94,57,20.7,1,3,10.0,1.8,Poor
96,55,52.5,9,9,5.8,3.99,Excellent
57,73,7.8,3,10,14.0,3.43,Average
100,67,24.8,2,12,8.4,1.55,Poor
60,67,42.4,2,12,6.4,2.05,Poor
76,83,37.8,4,1,8.5,3.17,Average
56,80,29.5,9,11,13.2,1.61,Good
65,57,12.9,5,19,22.1,1.84,Average
92,93,40.3,10,20,24.6,1.96,Excellent
100,79,18.9,1,4,17.9,1.84,Average
53,44,40.9,7,20,15.5,3.14,Average
91,100,58.5,5,10,9.9,3.71,Excellent
76,65,45.5,10,20,5.0,2.6,Excellent
73,98,39.3,7,0,8.7,2.32,Good
71,43,12.0,6,6,16.2,3.49,Good
92,67,16.2,4,11,5.2,3.51,Good
70,93,26.0,6,20,3.5,2.3,Average
69,49,54.7,10,20,18.9,3.5,Excellent
83,51,25.5,6,2,23.1,2.62,Good
65,49,40.5,2,16,16.1,3.07,Average
71,100,40.1,10,3,7.2,1.58,Excellent
55,72,22.1,4,14,4.3,1.98,Average
49,75,10.2,8,15,2.9,1.93,Good
68,71,38.1,2,8,11.8,1.56,Poor
89,86,15.9,5,16,7.2,3.75,Good
82,81,31.2,6,17,3.6,3.24,Excellent
100,46,53.1,1,7,6.6,2.29,Poor
83,39,28.0,9,18,8.0,3.79,Excellent
48,100,13.8,7,1,18.4,2.92,Good
59,46,32.7,2,19,22.2,2.45,Average
59,100,54.3,3,16,23.8,3.98,Good
56,60,20.6,1,9,22.3,3.93,Average
74,89,44.2,7,12,23.8,3.36,Excellent
89,51,17.6,2,1,10.1,3.89,Average
79,57,27.8,6,18,11.8,3.54,Good
88,39,19.5,8,19,4.8,1.93,Average
82,65,47.7,1,1,4.3,3.39,Average
82,87,47.1,9,16,8.8,1.5,Good
89,42,39.6,2,6,11.2,2.38,Poor
94,54,52.7,2,8,6.3,1.52,Poor
79,55,29.3,3,13,5.5,2.64,Average
65,53,28.6,1,18,9.0,2.37,Poor
94,56,24.1,5,12,10.2,2.44,Average
75,62,20.2,3,10,20.3,2.17,Average
52,93,32.6,8,7,9.4,3.57,Good
62,94,32.8,1,11,6.5,3.08,Average
63,57,19.6,6,11,16.9,2.12,Average
84,92,31.6,6,20,15.4,3.24,Excellent
54,84,28.2,7,14,19.3,3.55,Excellent
97,82,35.7,10,17,16.2,1.8,Excellent
87,59,51.3,6,3,14.8,2.47,Good
98,87,42.6,7,17,24.4,3.11,Excellent
71,72,54.3,3,10,9.8,2.97,Average
96,67,51.0,4,20,25.0,2.61,Good
62,98,6.8,1,8,22.5,1.55,Poor
74,76,28.9,7,20,7.7,2.25,Good
68,50,49.8,10,3,15.0,3.1,Good
65,73,30.3,10,14,13.4,3.68,Excellent
82,46,57.9,7,19,19.0,3.81,Excellent
82,61,50.2,4,1,5.3,2.29,Average
96,74,28.0,9,16,5.4,3.3,Excellent
55,64,35.9,3,1,2.1,2.98,Poor
88,86,35.7,3,19,18.4,2.52,Good
100,95,16.5,4,0,12.8,2.5,Good
88,84,8.7,6,15,22.2,2.45,Good
80,97,39.60941333663265,5,9,21.305272401442764,3.422286946707805,Good
54,85,34.454090327072876,2,12,21.582170691609168,4.0,Average
89,100,51.43832312419366,5,1,19.799228030077884,2.1549604233807034,Average
92,36,46.67455110392232,2,0,17.186922473174995,2.2747327266719677,Excellent
45,64,2.2649999999999997,9,13,16.956855752832592,2.6015883024760664,Excellent
49,59,45.53612482500671,10,5,15.816270778615905,3.087213447189369,Good
77,36,16.863536012578834,7,0,16.912761802881953,2.8986296211410476,Excellent
68,93,9.120187557933345,3,19,17.484172391287597,3.391253927035005,Excellent
74,64,31.952323876392576,1,6,1.6335041004579,1.7117596093636003,Poor
58,86,43.05026818484646,1,21,6.812333492624872,3.1897971951903727,Average
91,100,5.065575568139291,10,11,4.799789242537754,2.083658958663993,Poor
89,62,48.485992846067965,2,14,22.811470443833223,2.6652265912828206,Excellent
75,60,49.57390366970722,4,9,26.145,4.0,Average
96,72,36.31137052328636,7,0,0.9550000000000001,1.4465974824683927,Average
83,91,19.37873103662921,10,2,26.145,2.5330286876781005,Excellent
58,57,17.309742534251868,5,10,14.207082869227438,1.566621291035148,Excellent
81,56,54.43548059269794,4,14,22.015261015268273,2.953059399552376,Average
56,93,7.463322266937077,5,0,17.746451482631475,3.8223448498845487,Poor
91,78,55.148968192952054,3,11,25.621492143340078,2.9691670044620655,Good
73,36,32.38321670426292,3,2,15.24441760274884,2.691075104124251,Average
71,43,33.66741416215936,6,13,1.9789508507559201,4.0,Good
61,100,3.8186196372391024,6,11,12.584764539471017,3.1253641756003283,Average
98,78,32.72539695765151,10,17,17.823933796242834,3.600288819200745,Good
71,53,46.801413340042586,6,20,11.65481218436867,3.498995745070763,Good
66,66,10.699752697724321,9,15,19.021940330728906,1.3755,Good
67,70,44.67326843435743,2,18,12.921861653729886,2.7299643795180804,Good
84,86,37.089614061502544,7,8,8.454396339314322,1.7575096583385925,Good
81,40,23.523359435041865,3,21,4.318676839509182,1.999075575973198,Excellent
82,51,51.26483963562169,6,1,10.171978643698942,4.0,Good
82,76,2.2649999999999997,7,7,15.200816665684128,2.440446863573564,Good
100,67,41.86001485041325,5,19,0.9550000000000001,4.0,Good
66,82,62.435,10,17,6.898094881232969,1.4374249464629447,Good
64,43,62.1003619216993,9,15,0.9550000000000001,1.7520751380059163,Good
58,77,42.658436752248285,9,17,8.272552040523694,3.544727538310166,Poor
86,93,29.85643509967788,7,0,23.571797086125894,2.472914301297025,Average
96,80,23.670600061939403,10,21,3.474296015197302,3.1028590765609403,Average
72,73,29.833385196842052,1,9,19.404997239317485,2.6953566647805487,Average
58,67,45.50955845076578,9,21,26.145,2.6659623510732864,Good
58,51,20.496585835422103,2,0,25.732316834484074,2.508976155147749,Average
87,68,49.46439450640593,3,13,14.601641118322238,2.9787208194718073,Poor
88,97,62.435,7,6,20.714300297517905,3.42750499628976,Good
85,67,34.29597815865578,9,16,1.9264323861735804,4.0,Good
61,50,10.551925960958332,2,14,0.9550000000000001,2.6077588302700088,Average
79,59,10.545447215775337,4,14,13.717820724569881,2.4221585737956532,Good
76,74,49.8187790862342,5,2,16.836986157242286,2.2970596325959005,Good
78,61,34.335543005038,5,11,22.704038472944237,4.0,Average
91,80,51.67506298186291,8,10,8.679933141754415,3.4747840611952814,Average
78,81,25.562114870703176,10,15,15.106577317479902,1.3755,Good
87,89,50.819593352958215,6,19,14.817489342073202,1.3755,Excellent
75,100,32.510961064808335,3,12,12.367895638053634,1.998356012743396,Good
80,91,21.880296183556492,1,0,12.864712713597036,3.0279085359855924,Good
86,49,28.017695570973896,4,12,6.268817975642449,2.7719141593453287,Excellent
46,50,13.27974485295627,2,21,15.834374304703944,3.3043128141205003,Average
68,68,62.435,7,21,15.120528310886346,2.6340453477192263,Average
65,60,33.657281348932635,6,0,9.765578449901234,4.0,Average
62,45,47.374016084633936,4,12,19.08975644379892,3.5542060708134127,Average
69,60,25.50222515929216,10,19,22.14268605269387,2.8797505104928702,Excellent
100,59,15.966575966929025,3,10,19.18758675566164,3.9166439861623505,Average
57,55,31.111669809605566,5,7,4.685771979967328,1.3755,Average
93,63,55.82883013675227,7,9,14.316063576517287,2.7218014898012526,Excellent
45,95,25.80098728180964,8,16,5.790485647957668,2.9379534502305367,Good
68,74,19.324886815727346,9,2,14.289999559545787,3.389048108429296,Excellent
77,100,38.319887202707704,6,21,5.823327826586468,1.3755,Good
85,73,44.68042830708599,8,11,24.24509423949396,2.5515382026150943,Average
88,63,62.435,3,3,20.081018996862394,3.193300019683648,Excellent
89,70,41.99090180184314,8,20,23.198037446209298,3.2677838909665256,Average
67,75,47.36436284629424,8,0,22.344134872231606,3.9562551339053647,Good
65,79,48.75812259111814,10,6,11.194090027810399,3.543906648470103,Average
91,100,14.095069806942846,1,6,9.887018779868198,2.7453296950748403,Excellent
70,51,17.60681235978982,2,21,26.145,3.4598767193893267,Poor
50,88,15.374720904694012,8,5,12.083516045926942,2.608874515016134,Average
52,74,10.778701323153811,1,0,2.0537763962547633,2.9469473398463086,Good
56,36,50.16858317881517,7,6,21.970966094970663,3.5762410393079156,Good
84,86,40.81157106941114,8,15,14.688174494563743,2.7604255331779077,Average
77,97,36.91343403190681,3,18,26.145,3.1559411145441367,Good
87,51,2.2649999999999997,4,21,15.524595443809353,3.737933707293269,Excellent
66,69,62.435,2,21,13.307177352185178,3.495992624834316,Average
77,36,18.88537066686307,4,13,26.145,4.0,Average
86,42,62.435,4,4,0.9550000000000001,4.0,Average
68,92,8.61082457677296,3,21,8.53995771075423,3.4870225844558407,Good
83,59,20.401104075896093,3,8,5.993436146637267,2.3564602231231317,Average
61,45,2.2649999999999997,4,6,0.9550000000000001,3.3014427546162137,Average
67,75,42.145944853596895,4,8,20.838607142591197,3.25968140024891,Good
67,58,15.05331299745946,10,1,8.775585402231826,3.400190579564072,Average
51,59,15.576448839678978,4,7,21.110052365008492,4.0,Average
84,86,10.031331178208127,6,9,16.756677542224082,1.3755,Average
65,44,49.833395867465875,3,17,18.595363027840307,4.0,Excellent
74,50,48.61350113508735,3,8,9.635826591626612,4.0,Good
83,73,62.435,1,1,7.031561548433461,3.3560642344086835,Average
83,91,22.746690490760436,1,0,14.232712470193468,3.379432942724713,Excellent
87,97,39.492825889716215,2,13,21.226417532836983,2.5697578842278648,Good
72,55,11.57128374960682,6,12,13.051003598435212,2.8105578280157277,Average
66,90,29.238850067100643,8,6,7.55698554241982,3.482190816766058,Excellent
73,52,25.835912997876893,1,7,3.3655065804376108,3.4196528672071596,Average
45,100,44.04036028301073,4,14,15.197370990344846,3.5042904593311865,Poor
46,45,54.27051738222954,1,21,8.803840590700185,3.4129680594022496,Average
49,99,53.789991798999296,4,5,12.87090436257107,3.6768339136099613,Average
